,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
286,Stephen Hill,WR,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Hakeem Nicks,WR,NA,NA,NA,NA,NA,NA,15,12,11,12,NA,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Daniel Graham,TE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,David Thomas,TE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Felix Jones,RB,NA,NA,NA,NA,NA,NA,7,9,7,8,10,6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Phillip Tanner,RB,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Kellen Davis,TE,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Ronnie Hillman,RB,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,10,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Cecil Shorts,WR,NA,NA,NA,NA,NA,NA,NA,11,11,NA,10,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Darrius Heyward-Bey,WR,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,8,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Chris Givens,WR,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Leonard Hankerson,WR,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Kendall Hunter,RB,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
299,James Starks,RB,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Earl Bennett,WR,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Chris Cooley,TE,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Logan Paulsen,TE,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Niles Paul,TE,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Titus Young,WR,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Justin Forsett,RB,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Garrett Graham,TE,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Chris Ivory,RB,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Delone Carter,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Michael Jenkins,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Visanthe Shiancoe,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Donald Jones,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Shane Vereen,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Marcel Reece,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Taiwan Jones,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Jerricho Cotchery,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Emmanuel Sanders,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Rod Streater,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Byron Leftwich,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Josh Morgan,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Nick Foles,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Jason Campbell,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Colin Kaepernick,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0
323,T.Y. Hilton,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Knowshon Moreno,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Golden Tate,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Delanie Walker,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Beanie Wells,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Ryan Lindley,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Danario Alexander,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Chad Henne,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Taylor Thompson,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Graham Gano,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Bryce Brown,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
